[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40887] abnormal exit, status=0, signal=9
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40886] abnormal exit, status=0, signal=9
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40885] abnormal exit, status=0, signal=9
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40884] abnormal exit, status=0, signal=9
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40883] abnormal exit, status=0, signal=9
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40882] abnormal exit, status=0, signal=9
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40881] abnormal exit, status=0, signal=9
[2019-07-01 17:12:26 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40891] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40904] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40910] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40909] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40905] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40906] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40908] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40907] exit timeout, forced kill
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40910] abnormal exit, status=0, signal=9
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40909] abnormal exit, status=0, signal=9
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40908] abnormal exit, status=0, signal=9
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40907] abnormal exit, status=0, signal=9
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40906] abnormal exit, status=0, signal=9
